,state,age,total_population,total_citizen_population,total_registered,percent_registered_total,margin_of_error,percent_registered_citizen,margin_of_error_2,total_voted,percent_voted_total,margin_of_error_3,percent_voted_citizen,margin_of_error_4,sex_race_and_hispanic_origin
811,UTAH,,1799,1785,1293.0,71.9,2.3,72.4,2.3,1092.0,60.7,2.5,61.2,2.5,White non-Hispanic alone
812,UTAH,,31,29,8.0,B,B,B,B,5.0,B,B,B,B,Black alone
813,UTAH,,63,44,26.0,B,B,B,B,22.0,B,B,B,B,Asian alone
814,UTAH,,291,189,96.0,32.8,9.5,50.5,12.6,82.0,28.3,9.1,43.6,12.4,Hispanic (of any race)
815,UTAH,,2091,1979,1392.0,66.6,2.3,70.3,2.3,1175.0,56.2,2.4,59.4,2.4,White alone or in combination
816,UTAH,,35,33,12.0,B,B,B,B,10.0,B,B,B,B,Black alone or in combination
817,UTAH,,67,48,26.0,B,B,B,B,22.0,B,B,B,B,Asian alone or in combination
818,VERMONT,,503,497,343.0,68.1,2.9,69.0,2.9,273.0,54.2,3.1,54.9,3.1,Total
819,VERMONT,,247,243,168.0,68.2,4.1,69.1,4.1,132.0,53.6,4.4,54.3,4.4,Male
820,VERMONT,,257,253,175.0,68.0,4.0,69.0,4.0,141.0,54.7,4.3,55.5,4.3,Female
821,VERMONT,,478,473,330.0,68.9,2.9,69.7,2.9,263.0,55.0,3.1,55.6,3.1,White alone
822,VERMONT,,472,466,323.0,68.6,2.9,69.4,2.9,258.0,54.6,3.2,55.3,3.2,White non-Hispanic alone
823,VERMONT,,4,4,2.0,B,B,B,B,1.0,B,B,B,B,Black alone
824,VERMONT,,5,4,3.0,B,B,B,B,3.0,B,B,B,B,Asian alone
825,VERMONT,,8,8,7.0,B,B,B,B,6.0,B,B,B,B,Hispanic (of any race)
826,VERMONT,,493,486,338.0,68.7,2.9,69.6,2.9,268.0,54.5,3.1,55.2,3.1,White alone or in combination
827,VERMONT,,7,7,3.0,B,B,B,B,2.0,B,B,B,B,Black alone or in combination
828,VERMONT,,8,7,5.0,B,B,B,B,3.0,B,B,B,B,Asian alone or in combination
829,VIRGINIA,,6386,5773,4159.0,65.1,2.0,72.0,2.0,3319.0,52.0,2.1,57.5,2.2,Total
830,VIRGINIA,,3051,2724,1958.0,64.2,2.9,71.9,2.9,1578.0,51.7,3.0,57.9,3.2,Male
831,VIRGINIA,,3335,3049,2201.0,66.0,2.8,72.2,2.7,1742.0,52.2,2.9,57.1,3.0,Female
832,VIRGINIA,,4496,4094,3065.0,68.2,2.3,74.9,2.3,2412.0,53.7,2.5,58.9,2.6,White alone
833,VIRGINIA,,3874,3808,2924.0,75.5,2.3,76.8,2.3,2314.0,59.7,2.6,60.8,2.7,White non-Hispanic alone
834,VIRGINIA,,1198,1130,754.0,63.0,5.7,66.8,5.7,637.0,53.2,5.9,56.4,6.0,Black alone
835,VIRGINIA,,510,368,226.0,44.3,9.3,61.4,10.8,169.0,33.2,8.8,46.0,11.0,Asian alone
836,VIRGINIA,,669,324,159.0,23.8,8.7,49.0,14.6,112.0,16.8,7.6,34.6,13.9,Hispanic (of any race)
837,VIRGINIA,,4617,4215,3156.0,68.4,2.3,74.9,2.2,2490.0,53.9,2.5,59.1,2.5,White alone or in combination
838,VIRGINIA,,1258,1190,786.0,62.5,5.5,66.1,5.6,664.0,52.8,5.7,55.8,5.8,Black alone or in combination
839,VIRGINIA,,587,445,286.0,48.7,8.7,64.3,9.6,224.0,38.2,8.5,50.4,10.0,Asian alone or in combination
840,WASHINGTON,,5775,5228,3852.0,66.7,2.1,73.7,2.0,3234.0,56.0,2.2,61.9,2.2,Total
841,WASHINGTON,,2869,2590,1861.0,64.9,3.0,71.9,2.9,1541.0,53.7,3.1,59.5,3.2,Male
842,WASHINGTON,,2906,2638,1991.0,68.5,2.9,75.5,2.8,1693.0,58.2,3.0,64.2,3.1,Female
843,WASHINGTON,,4663,4314,3219.0,69.0,2.3,74.6,2.2,2736.0,58.7,2.4,63.4,2.4,White alone
844,WASHINGTON,,3995,3905,2983.0,74.7,2.3,76.4,2.3,2558.0,64.0,2.5,65.5,2.5,White non-Hispanic alone
845,WASHINGTON,,232,232,155.0,66.8,12.4,66.8,12.4,103.0,44.2,13.1,44.2,13.1,Black alone
846,WASHINGTON,,530,356,262.0,49.4,9.1,73.4,9.8,224.0,42.2,9.0,62.8,10.8,Asian alone
847,WASHINGTON,,736,468,267.0,36.3,9.3,57.2,12.0,204.0,27.8,8.6,43.7,12.0,Hispanic (of any race)
848,WASHINGTON,,4792,4434,3321.0,69.3,2.2,74.9,2.2,2816.0,58.8,2.4,63.5,2.4,White alone or in combination
849,WASHINGTON,,255,255,175.0,68.4,11.7,68.4,11.7,117.0,45.7,12.6,45.7,12.6,Black alone or in combination
850,WASHINGTON,,559,386,287.0,51.4,8.9,74.5,9.3,237.0,42.4,8.8,61.6,10.4,Asian alone or in combination
851,WEST VIRGINIA,,1406,1384,892.0,63.4,2.8,64.5,2.8,610.0,43.4,2.9,44.1,2.9,Total
852,WEST VIRGINIA,,685,674,423.0,61.7,4.0,62.7,4.1,294.0,43.0,4.1,43.7,4.2,Male
853,WEST VIRGINIA,,721,710,470.0,65.1,3.9,66.1,3.9,316.0,43.8,4.0,44.5,4.1,Female
854,WEST VIRGINIA,,1312,1303,856.0,65.2,2.9,65.7,2.9,585.0,44.6,3.0,44.9,3.0,White alone
855,WEST VIRGINIA,,1291,1286,847.0,65.6,2.9,65.9,2.9,582.0,45.1,3.0,45.2,3.0,White non-Hispanic alone
856,WEST VIRGINIA,,49,47,19.0,B,B,B,B,12.0,B,B,B,B,Black alone
857,WEST VIRGINIA,,17,6,4.0,B,B,B,B,3.0,B,B,B,B,Asian alone
858,WEST VIRGINIA,,24,20,10.0,B,B,B,B,4.0,B,B,B,B,Hispanic (of any race)
859,WEST VIRGINIA,,1334,1324,867.0,65.0,2.8,65.5,2.8,594.0,44.5,3.0,44.8,3.0,White alone or in combination
860,WEST VIRGINIA,,64,63,29.0,B,B,B,B,19.0,B,B,B,B,Black alone or in combination
861,WEST VIRGINIA,,19,7,5.0,B,B,B,B,4.0,B,B,B,B,Asian alone or in combination
862,WISCONSIN,,4436,4296,3129.0,70.5,2.3,72.8,2.2,2776.0,62.6,2.4,64.6,2.4,Total
863,WISCONSIN,,2186,2105,1519.0,69.5,3.3,72.2,3.2,1328.0,60.7,3.5,63.1,3.5,Male
864,WISCONSIN,,2250,2191,1610.0,71.6,3.2,73.5,3.1,1448.0,64.4,3.3,66.1,3.4,Female
865,WISCONSIN,,3948,3865,2883.0,73.0,2.3,74.6,2.3,2574.0,65.2,2.5,66.6,2.5,White alone
866,WISCONSIN,,3782,3759,2815.0,74.5,2.3,74.9,2.3,2514.0,66.5,2.5,66.9,2.5,White non-Hispanic alone
867,WISCONSIN,,264,239,137.0,51.7,12.3,57.1,12.8,110.0,41.7,12.2,46.0,12.9,Black alone
868,WISCONSIN,,89,79,52.0,58.6,21.8,66.0,22.3,52.0,58.6,21.8,66.0,22.3,Asian alone
869,WISCONSIN,,232,142,91.0,39.3,16.7,64.2,21.0,84.0,36.3,16.4,59.4,21.5,Hispanic (of any race)
870,WISCONSIN,,4015,3932,2923.0,72.8,2.3,74.4,2.3,2599.0,64.7,2.5,66.1,2.5,White alone or in combination
871,WISCONSIN,,313,266,159.0,50.7,11.3,59.6,12.1,123.0,39.1,11.1,46.1,12.3,Black alone or in combination
872,WISCONSIN,,94,84,57.0,60.5,21.1,67.8,21.4,57.0,60.5,21.1,67.8,21.4,Asian alone or in combination
873,WYOMING,,430,422,268.0,62.4,2.9,63.5,2.9,220.0,51.2,3.0,52.1,3.0,Total
874,WYOMING,,216,212,134.0,61.8,4.1,62.9,4.1,107.0,49.7,4.2,50.6,4.2,Male
875,WYOMING,,214,210,135.0,62.9,4.1,64.1,4.1,113.0,52.7,4.2,53.6,4.2,Female
876,WYOMING,,408,402,259.0,63.6,2.9,64.5,2.9,214.0,52.5,3.0,53.2,3.1,White alone
877,WYOMING,,369,368,244.0,66.0,3.0,66.3,3.0,202.0,54.7,3.2,54.9,3.2,White non-Hispanic alone
878,WYOMING,,5,4,3.0,B,B,B,B,2.0,B,B,B,B,Black alone
879,WYOMING,,3,1,,B,B,B,B,,B,B,B,B,Asian alone
880,WYOMING,,41,37,16.0,B,B,B,B,13.0,B,B,B,B,Hispanic (of any race)
881,WYOMING,,410,405,261.0,63.6,2.9,64.4,2.9,216.0,52.5,3.0,53.2,3.0,White alone or in combination
882,WYOMING,,6,5,3.0,B,B,B,B,2.0,B,B,B,B,Black alone or in combination
883,WYOMING,,3,1,,B,B,B,B,,B,B,B,B,Asian alone or in combination
